## Tama Art University Library — Program Distribution Floor by Floor
## Source: Tama-PROGRAM.md + ProgramFormat.txt
## Format: {program type}/{area in m2}/{floor level}/{program category}/{width,length}
##
## Building: Toyo Ito — Tama Art University Library (2007)
## Site: 80m X 80m | Site area ~6,400 m²
## Floors: B1 to L1 | Floor-to-floor: 4.0m | Total Height: ~12m above grade
## Total GFA: ~5,750 m²
##
## ── STRUCTURAL SYSTEM NOTE ──────────────────────────────────────────────
## NO conventional vertical core. Circulation is distributed and peripheral.
## Structure = non-repetitive load-bearing arch field (thin steel plate + concrete arches,
## intersecting at varied spans and angles across every floor plate).
## Egress stairs are located at the perimeter edges of the building — never central.
## Only two egress/elevator cores present (far fewer than code minimum for a tower).
##
## ── FLOOR GROSS AREAS ───────────────────────────────────────────────────
## B1  basement:     ~1,650 m²  (archive, infrastructure, overflow stacks)
## L0  ground:       ~2,030 m²  (main public floor — fluid, non-silent library)
## L1  second:       ~2,070 m²  (primary collection — semi-quiet reading)
## Note: L0 floor follows a ~3° longitudinal slope (east-to-west natural grade)
##
## ── RESTROOM NOTE ───────────────────────────────────────────────────────
## Library-scale fixtures: 1 female stall / 25 occupants, 1 male / 50 occupants.
## Cluster per floor: ~80–120 m². Located near perimeter arches, not at central core.
## Basement restroom = staff only (smaller cluster).
##
## ── PROGRAM TYPE → CATEGORY ─────────────────────────────────────────────
## entry hall              → public
## exhibition gallery      → public
## informal lounge         → public
## media lounge            → public
## open reading            → public
## event space             → public
## cafe                    → public
## reading room            → public
## restroom                → public
## book stacks             → private
## compact stacks          → private
## archive                 → private
## study zone              → private
## seminar room            → private
## faculty study           → private
## administrative office   → private
## book processing         → private
## staff workroom          → private
## staff office            → private
## storage                 → private
## mechanical              → private
## server room             → private
## IT support              → private
## service corridor        → circulation
## open stair              → circulation
## fire stair and elevator 1  → circulation   (SW perimeter — main entrance side)
## fire stair and elevator 2  → circulation   (NE perimeter — far reading end)
## fire stair and freight elevator → circulation  (SE perimeter — service/delivery side)
## ─────────────────────────────────────────────────────────────────────────


## ─────────────────────────────────────────────────────────────────────────
## B1  Basement  −4.0 m
## Infrastructure, archive collections, overflow stacks
## Gross: ~1,650 m² | No public program — staff and systems only
## ─────────────────────────────────────────────────────────────────────────
{archive}/{350}/{-1}/{private}/{18,20}
{compact stacks}/{400}/{-1}/{private}/{22,18}
{book processing}/{100}/{-1}/{private}/{10,10}
{storage}/{120}/{-1}/{private}/{10,12}
{mechanical}/{220}/{-1}/{private}/{14,16}
{server room}/{60}/{-1}/{private}/{8,8}
{staff workroom}/{50}/{-1}/{private}/{6,8}
{service corridor}/{80}/{-1}/{circulation}/{5,16}
{restroom}/{70}/{-1}/{public}/{8,9}
{fire stair and freight elevator}/{100}/{-1}/{circulation}/{8,12}
{fire stair and elevator 1}/{100}/{-1}/{circulation}/{8,12}
{fire stair and elevator 2}/{100}/{-1}/{circulation}/{8,12}


## ─────────────────────────────────────────────────────────────────────────
## L0  Ground Floor  0 m   (floor follows ~3° slope, east-to-west)
## Primary public face — fluid, open, non-silent social library
## Gross: ~2,030 m²
## ─────────────────────────────────────────────────────────────────────────
{entry hall}/{200}/{0}/{public}/{14,14}
{exhibition gallery}/{380}/{0}/{public}/{22,18}
{informal lounge}/{280}/{0}/{public}/{18,16}
{media lounge}/{200}/{0}/{public}/{14,14}
{open reading}/{250}/{0}/{public}/{16,16}
{event space}/{180}/{0}/{public}/{15,12}
{cafe}/{120}/{0}/{public}/{10,12}
{restroom}/{120}/{0}/{public}/{10,12}
{staff office}/{60}/{0}/{private}/{6,10}
{IT support}/{40}/{0}/{private}/{5,8}
{open stair}/{100}/{0}/{circulation}/{8,12}
{fire stair and freight elevator}/{100}/{0}/{circulation}/{8,12}
{fire stair and elevator 1}/{100}/{0}/{circulation}/{8,12}
{fire stair and elevator 2}/{100}/{0}/{circulation}/{8,12}


## ─────────────────────────────────────────────────────────────────────────
## L1  Second Floor  4.0 m
## Primary library collection — semi-quiet, visually open across full plate
## Gross: ~2,070 m²
## ─────────────────────────────────────────────────────────────────────────
{book stacks}/{700}/{1}/{private}/{30,24}
{reading room}/{380}/{1}/{public}/{22,18}
{study zone}/{300}/{1}/{private}/{20,15}
{seminar room}/{120}/{1}/{private}/{10,12}
{faculty study}/{100}/{1}/{private}/{10,10}
{administrative office}/{80}/{1}/{private}/{8,10}
{restroom}/{100}/{1}/{public}/{10,10}
{storage}/{50}/{1}/{private}/{6,8}
{IT support}/{40}/{1}/{private}/{5,8}
{open stair}/{100}/{1}/{circulation}/{8,12}
{fire stair and freight elevator}/{100}/{1}/{circulation}/{8,12}
{fire stair and elevator 1}/{100}/{1}/{circulation}/{8,12}
{fire stair and elevator 2}/{100}/{1}/{circulation}/{8,12}
